"start_speed","pfx_x","pfx_z","x0","z0"
94.2,-10.6,5.5,-2.289,5.619
94.2,-10.27,8.58,-1.954,5.73
94.1,-8.94,7,-2.099,5.662
89.4,-0.23,3.54,-2.321,5.593
92.6,-8.07,8.44,-2.064,5.836
92.5,-10.18,7.6,-1.845,5.802
88.8,-4.48,2.76,-2.086,5.596
85.9,-10.16,-0.42,-2.315,5.607
91.9,-11.26,5.52,-2.512,5.726
88.8,-2.91,2.57,-2.395,5.574
93.7,-10.98,3.06,-2.168,5.761
88.7,-2.32,2.89,-2.03,5.564
90.1,-3.17,6.01,-1.829,5.403
93.4,-9.57,8.08,-1.907,5.633
87.6,-0.92,1.95,-2.204,5.631
94.6,-10.64,5.31,-2.026,5.637
87.7,-2.02,2.04,-1.982,5.466
93.3,-8.77,7.22,-2.208,5.644
89.3,-0.82,3.76,-2.217,5.503
88,-0.84,0.45,-2.017,5.604
90,-8.09,5.88,-2.278,5.898
91.1,-10.14,6.19,-2.332,5.819
91.2,-11.7,5.56,-2.329,5.766
91.7,-8.56,3.74,-2.475,5.904
88,0.09,0.6,-2.123,5.578
86.4,2.49,1.05,-2.203,5.563
87.4,-2.51,1.87,-2.017,5.514
93.2,-11.05,6.84,-1.928,5.728
92.5,-9.32,9.06,-2.093,5.613
92.1,-9.62,6.58,-2.338,5.694
88.5,-3.34,2.7,-2.484,5.509
93.9,-11.02,5.62,-2.011,5.683
88.8,-0.48,2.35,-2.223,5.668
92,-11.21,6.3,-1.993,5.849
93.8,-10.09,7.5,-2.175,5.634
91.9,-8.7,6.9,-2.352,5.571
93.3,-9.5,7.56,-2.084,5.747
92.4,-9.6,6.01,-2.462,5.636
92.7,-11.99,6.35,-1.826,5.771
92.3,-9.76,6.73,-2.039,5.711
90.6,-11.48,5.6,-2.475,5.638
85.6,-11.39,3.07,-2.371,5.51
90.8,-10.93,5.36,-2.45,5.704
92.2,-10.63,7.27,-2.189,5.815
91.8,-9.5,6.51,-2.21,5.536
85.6,-2.65,0.77,-2.324,5.706
85.5,0.13,1.55,-2.103,5.693
86.8,0.74,0.14,-2.347,5.755
91.6,-10.54,6.21,-1.881,5.77
87.3,-10.03,4.86,-2.27,5.639
93.2,-9.67,5.84,-2.071,5.662
84.6,-11.82,4.46,-2.144,5.465
83.7,-10.87,4.28,-1.96,5.512
